request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,Balance on 2025-08-03 is 100845250.00 IDR; minimum to keep is 24768300.00; requested 15656000.00.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Balance on 2026-07-05 is 93141.80 ZAR; minimum to keep is 20500.00; requested 6670.00.
request_28,689.4,not_affordable,not_recommended,none,,none,Balance on 2024-06-07 is 1789.40 EUR; minimum to keep is 1100.00; requested 1302.40.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,Balance on 2025-11-04 is 113540.10 ZAR; minimum to keep is 28300.00; requested 51524.00.
request_30,775.2,affordable_now,not_recommended,none,2026-04-06,none,Balance on 2026-04-06 is 3752.72 USD; minimum to keep is 900.00; requested 775.20.
request_31,13840360.0,not_affordable,not_recommended,none,,none,Balance on 2024-09-03 is 30429260.00 IDR; minimum to keep is 16588900.00; requested 18164000.00.
request_32,33305.8,not_affordable,not_recommended,none,,none,Balance on 2025-02-05 is 69005.80 ZAR; minimum to keep is 35700.00; requested 40018.00.
request_33,,,,,,,
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,Balance on 2024-12-04 is 559752.50 INR; minimum to keep is 138500.00; requested 129400.00.
request_35,,,,,,,
request_36,1446.6,not_affordable,not_recommended,none,,none,Balance on 2026-07-03 is 3846.60 USD; minimum to keep is 2400.00; requested 3954.00.
request_37,12068800.0,not_affordable,not_recommended,none,,none,Balance on 2024-03-05 is 29125000.00 IDR; minimum to keep is 17056200.00; requested 14649000.00.
request_38,379.4,not_affordable,not_recommended,none,,none,Balance on 2025-08-07 is 779.40 EUR; minimum to keep is 400.00; requested 971.30.
request_39,203105.0,not_affordable,not_recommended,none,,none,Balance on 2026-04-04 is 416505.00 INR; minimum to keep is 213400.00; requested 208600.00.
request_40,894.0,not_affordable,not_recommended,none,,none,Balance on 2024-06-06 is 2394.00 EUR; minimum to keep is 1500.00; requested 1290.30.
request_41,24809250.0,not_affordable,not_recommended,none,,none,Balance on 2025-11-03 is 50175850.00 IDR; minimum to keep is 25366600.00; requested 38760000.00.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,Balance on 2026-01-05 is 261765.00 INR; minimum to keep is 113100.00; requested 52100.00.
request_43,15242750.0,not_affordable,not_recommended,none,,none,Balance on 2024-09-07 is 36640750.00 IDR; minimum to keep is 21398000.00; requested 43339000.00.
